uid,section,name,first_url,phase_hint,status
19,Кадры,Все изменения в оплате труда / СОЗДАТЬ :: СОЗДАТЬ,https://app2.verifix.com/#/!1jmg0nni/vhr/hpd/wage_change_list,phase-1-hr,optional
21,Кадры,Все отсутствия сотрудников,https://app2.verifix.com/#/!1iil5zr2/vhr/hpd/timeoff_list,phase-1-hr,todo
22,Кадры,Типы отпуска,https://app2.verifix.com/#/!1jzceri6/vhr/hpd/vacation_type_list,phase-1-hr,todo
23,Кадры,Типы отпуска / СОЗДАТЬ :: СОЗДАТЬ,https://app2.verifix.com/#/!1k0tzry6/vhr/hpd/vacation_type+add,phase-1-hr,optional
26,Кадры,Все отсутствия сотрудников / СОЗДАТЬ :: СОЗДАТЬ,https://app2.verifix.com/#/!1iil5zr2/vhr/hpd/timeoff_list,phase-1-hr,optional
27,Кадры,Корректировки табеля,https://app2.verifix.com/#/!1iil5zr2/vhr/hpd/timebook_adjustment_list,phase-1-hr,todo
28,Кадры,Заявки на кадровые изменения,https://app2.verifix.com/#/!1iil5zr2/vhr/hpd/application/application_list,phase-1-hr,todo
29,Кадры,Заявки на кадровые изменения / СОЗДАТЬ :: СОЗДАТЬ,https://app2.verifix.com/#/!1iil5zr2/vhr/hpd/application/application_list,phase-1-hr,optional
30,Кадры,Шаблоны обходных листов,https://app2.verifix.com/#/!1kwx0pj2/vhr/hpd/clearance_sheet_template_list,phase-1-hr,todo
31,Кадры,Шаблоны обходных листов / СОЗДАТЬ :: СОЗДАТЬ,https://app2.verifix.com/#/!1kykk20u/vhr/hpd/clearance_sheet_template+add,phase-1-hr,optional
32,Кадры,Инциденты,https://app2.verifix.com/#/!1iil5zr2/vhr/hbeh/event_list,phase-1-hr,todo
33,Кадры,Типы инцидента,https://app2.verifix.com/#/!1l95lh6m/vhr/hbeh/event_type_list,phase-1-hr,todo
34,Кадры,Типы инцидента / СОЗДАТЬ :: СОЗДАТЬ,https://app2.verifix.com/#/!1lat4toe/vhr/hbeh/event_type+add,phase-1-hr,optional
35,Кадры,Инциденты / СОЗДАТЬ :: СОЗДАТЬ,https://app2.verifix.com/#/!1lgfk7cu/vhr/hbeh/event+add,phase-1-hr,optional
36,Кадры,Подразделения,https://app2.verifix.com/#/!1iil5zr2/vhr/hrm/division_list,phase-1-hr,todo
37,Кадры,Группы отделов,https://app2.verifix.com/#/!1lnpixj2/anor/mhr/division_group_list,phase-1-hr,todo
